"id","waterpurifier_name","price","original_price","rating","filtration_capacity"
167,"Kinsco Aqua Style 15 L RO + UV + UF + TDS Water Purifier with Prefilter","5,689","20,000","3.3","Filtration Capacity: 15 L/hr"
168,"Aqua Fresh Smoke Audi 18 ltr Needs no service for 2 years Unconditional Warranty 18 L RO + UV + CU Gua...","6,299","16,500",NULL,"Filtration Capacity: 18 L/hr"
169,"Always Aqyagem(UFgravity)BasedWaterPurifierNonElectric Filter15 L 15 L Gravity Based Water Purifier","1,599","2,500",NULL,"na"
170,"Royal Aquafresh Esc Aura Epic Golden 12 L RO + UV + UF + Copper Guard + pH enhancer Water Purifier wit...","3,799","16,500",NULL,"Filtration Capacity: 12 L/hr"
171,"Aquaultra Aqua Ultra Accura RO+UV+Active Copper Water Purifier 12 L RO + UV + MTDS Water Purifier","4,249","13,500",NULL,"Filtration Capacity: 12 L/hr"
172,"KENT Grand Star-B RO Water Purifier with Digital Display of Purity & Performance 20 L RO + UV + UF + T...","20,200","23,500",NULL,"Filtration Capacity: 20 L/hr"
173,"KENT Supreme 9 L RO + UV + UF Water Purifier","10,500","19,600",NULL,NULL
174,"Eureka Forbes Aquasure from Aquaguard Amaze NXT 6 L RO + UV + UF + MTDS Water Purifier","16,999","18,000",NULL,"Manufacturer Warranty"
175,"Aqua Frisch Storm Black Copper with Orp+Alkaline+Ro+Uf+Tds Adjuster+Antioxidant 12 L RO Water Purifier...","3,999","20,000",NULL,"Filtration Capacity: 15 L/hr"
176,"Grand plus GP Blue Swift 10 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","14,500",NULL,"Filtration Capacity: 4000 L/hr"
177,"Kinsco Aqua Punch Copper Charge Ro 15 L RO + UV + UF + TDS + Copper Water Purifier with Prefilter and ...","4,499","20,000",NULL,"Filtration Capacity: 15 L/hr"
178,"Aquaguard Delight NXT Aquasaver 6.2 L RO + UV + MTDS + MC Water Purifier | Upto 60% Water Savings | 9-...","12,499","22,000",NULL,"Filtration Capacity: 15 L/hr"
179,"Apeiron Water Purifier With New Ceramic Candle 30 L Gravity Based Water Purifier","2,499","2,999",NULL,"NA"
180,"AquaDpure Zinc+Mineral 10 to 12 Liter RO + UV + TDS ADJUSTER Water Purifier 12 L RO + UV + UF + TDS + ...","4,949","24,999",NULL,"Filtration Capacity: 12 L/hr"
181,"Peore Pro - 20  Water Purifier | 7.5 L NF + UV Water Purifier","13,499","20,999",NULL,"Filtration Capacity: 25 L/hr"
182,"KENT PEARL STAR 11 L RO + UV + UF + TDS Water Purifier","19,500","21,500",NULL,"1 Year Warranty"
183,"HAVELLS GHWRPMB015-RO-MAX 8 L RO + UV + UF + TDS Water Purifier","14,990","18,918",NULL,"Filtration Capacity: 20 L/hr"
184,"Grand plus AG 16 L Port 16 L Gravity Based Water Purifier","999","2,999",NULL,NULL
185,"Always Gravity WaterPurifierMineralTechnologyBasedNonElectric 15L Storage 15 L Gravity Based Water Pur...","1,599","2,500",NULL,"1 Year on Manufacturing Defect only(offsite)."
186,"AquaDpure RO+UV Water Purifier with Aqua Copper Infuser Technology 12 L RO + UV + UF + Copper + TDS Co...","4,999","24,999",NULL,"Filtration Capacity: 12 L/hr"
187,"Oseas aqua Cyclone Alkaline Filter 12 L RO + UV + UF + TDS Water Purifier","4,590","14,999",NULL,"Filtration Capacity: 12 L/hr"
188,"Aquaguard Reviva 8 L  Water Purifier (White, Blue) 8 L RO + UV Water Purifier","16,000","16,790",NULL,"NA"
189,"AquaDpure 25 LPH Commercial RO+UV Water Purifier Plant Double Purification Blue Stainless steel Full A...","7,759","29,999",NULL,"Filtration Capacity: 25 L/hr"
190,"AQUA SKYLND Model RO_UV_UF_TDS_With Copper Filter 18 L RO + UV + UF + TDS Water Purifier","3,855","15,500",NULL,"Filtration Capacity: 12 L/hr"
191,"AquaDpure Bio-Alkaline Water Purifier with Pre Filter & Aqua Copper Infuser Technology 12 L RO + UV + ...","4,949","24,999",NULL,"Filtration Capacity: 12 L/hr"
192,"AquaDart 25 LPH Commercial UV Protection Ro Water Purifier Plant Double Purification With Auto Shut Of...","7,399","24,999","4.2","1 Year Warrenty On All Electric Parts I.e Booster Pump & SMPS "
193,"KENT 116142 8 L RO + UV + UF + TDS Control + UV in Tank + Copper Water Purifier Suitable for all - Bor...","15,999","24,900","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase with 3 Years Extended Service without Any Charges"
194,"Prestige Clean Home Water Purifier PSWP 3.0 10 L Gravity Based Water Purifier","1,950","2,195","3.7","1 Year Warranty"
195,"Ferrum 20 Litres Stainless Steel Water Filter with 2 + 2 Extra Ceramic Filter Candle 20 L Gravity Base...","1,727","4,499","3.8","Filtration Capacity: 2 L/hr"
196,"Grand plus AQUA SWIFT BL RO UV UF TDS CONTROLLER WITH 14 STAGE 10 L RO + UV + UF + TDS Water Purifier ...","5,129","16,500","4.1","Filtration Capacity: 10 L/hr"
197,"AquaDpure Active Copper + alkaline 12 L RO + UV + UF + TDS Water Purifier","4,913","14,999","4.1","Filtration Capacity: 12 L/hr"
198,"Pureit VITAL MAX RO+UV+MP with FiltraPower Technology 7 L RO + UV Water Purifier","14,999","25,499","4.5","1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit"
199,"Aquatec Plus Skyland 18 L RO + UV + UF + TDS Water Purifier","5,699","13,999","4.3","Filtration Capacity: 15 L/hr"
200,"Royal Aquafresh AQUA BLUE SWIFT 10 LTRS 10 L RO + UV + UF + TDS Water Purifier","3,799","16,500","3.6","• TERMS AND CONDITION 1) Installation provided by seller charges Paid by customer RS450/- NCR Around 50 KM. "
201,"AquaDart Copper ZINC + Ro + UV + UF + TDS Controller/Adjuster RO Water Purifier-12 Liter 15 L RO + UV ...","4,449","19,999","4.2","Filtration Capacity: 15 L/hr"
202,"KENT grand plus 9 L RO + UV + UF + TDS Water Purifier","18,590","22,500","4.2","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
203,"V-Guard Rejive 5 L RO + UF + Minerals + Copper Water Purifier Copper, with Stainless Steel Storage Tan...","11,999","24,199","4.3","One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit"
204,"V-Guard Rejive 5 L RO + UF + Minerals + Alkaline Water Purifier with Stainless Steel Storage Tank","11,999","20,549","4.3","Filtration Capacity: 15 L/hr"
205,"AO Smith Z8 10 L RO Water Purifier (Silver Charged Membrane Tech) Water Purifier Black | Hot + Normal ...","24,299","29,350","4.4","Filtration Capacity: 15 L/hr"
206,"Royal Aquafresh NEW BLUE SWIFT 10 L RO + UV + UF + TDS Water Purifier","3,799","16,500",NULL,"Filtration Capacity: 10 L/hr"
207,"Royal Aquafresh Blue Swift 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","3.8","s address within maximum 4-6 days(working hours) "
208,"Aquaguard REGAL RO+UV+TA+MC 6.5 L RO + UV + UF + TDS Water Purifier","13,739","19,000","4.2","1 YEAR COMPREHENSIVE WARRANTY"
209,"Eureka Forbes Aquasure from Aquaguard Desire 7 L UV + UF Water Purifier Suitable only for Municipality...","6,999","11,500","4.1","Filtration Capacity: 36 L/hr"
210,"AquaDpure Zinc+UV Purified Water with Goodness of Copper RO Water Purifier 12 L RO + UV + UF + TDS + A...","4,949","24,999",NULL,"Filtration Capacity: 12 L/hr"
211,"Blair GLORY ( GLORY ) HIGH TDS RO+UV+UF+TDS +COPPER+ALKALINE 14 L RO + UV + UF + TDS Control + Alkalin...","5,520","19,999",NULL,"Filtration Capacity: 17 L/hr"
212,"Aquagrand Storm Model RO + UV LED+ UF + TDS + FILTER 12 L RO + UV + UF + Copper + TDS Control Water Pu...","3,889","17,500","3.9","Filtration Capacity: 12 L/hr"
213,"V-Guard Rejive 6.5 L RO + UF + Minerals Water Purifier","8,999","16,349","4.3","Filtration Capacity: 15 L/hr"
214,"Aquaguard Superio 5 L RO + UV + MTDS + SS (AS) Water Purifier","17,900","28,000","3.8","1 Years Manufacturer Warranty"
215,"V-Guard Zenora RO+UF+MB 7 L RO + UF + MB Water Purifier","8,299","14,649","4.3","One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit"
216,"SUPER AQUAFRESH Epic 15 L RO + UV + UF + Copper + TDS Control Water Purifier","3,999","16,990",NULL,"Filtration Capacity: 20 L/hr"
217,"Natures Aqua Grand Copper RO water purifier with Advance Technology Electric 12 L RO + UV + UF + TDS +...","3,399","12,500","4","Filtration Capacity: 12 L/hr"
218,"Aquatec Plus Advance plus 12 L RO + UV + UF + TDS Water Purifier","7,236","15,999","4.3","Filtration Capacity: 15 L/hr"
219,"Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier Suitable for all - Borewell, T...","9,999","16,000","4.1","Filtration Capacity: 15 L/hr"
220,"SUPER AQUAFRESH Crystal black LED COPPER+RO+UV+TDS 12 L electric borewell water purifier 12 L RO + UV ...","4,175","16,999",NULL,"Filtration Capacity: 12 L/hr"
221,"Royal Aquafresh BLUE SWIFT 10 L RO + UV + UF + Copper + TDS Control Water Purifier","3,999","16,500","3.5","Filtration Capacity: 10 L/hr"
222,"KENT GOLD STAR (11018) 22 L Gravity Based + UF Water Purifier","2,299","2,900","4","Filtration Capacity: 22 L/hr"
223,"KONVIO Steel Gravity 18L with 4 Candel 18 L Gravity Based Water Purifier","2,499","4,499","3.6","Filtration Capacity: 1 L/hr"
224,"Royal Aquafresh Mini ople 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifier with Pr...","3,899","16,500","4.4","Filtration Capacity: 12 L/hr"
225,"Aquagrand Opel Copper Filter 18 L RO + UV + UF + TDS Water Purifier","3,883","15,500","3.7","Filtration Capacity: 18 L/hr"
226,"E.F.M Golden Star 10 L RO + UV + UF + TDS Water Purifier","4,099","9,000","4.1","Filtration Capacity: 12 L/hr"
227,"KENT ELEGANT 8 L RO + UV + UF + TDS Water Purifier","16,499","23,500","4.4","Filtration Capacity: 15 L/hr"
228,"Grand plus RO+UV+UF+TDS+COPPER WATER PURIFIER 14 L RO + UV + UF + TDS + Copper Water Purifier","3,799","16,500","4","Filtration Capacity: 14 L/hr"
229,"Aquaguard Slim Glass  Bar inline UV Water Purifier | Instant | Toughened Glass Exterior | Input & Outp...","16,990","23,500","3.4","1 Year Warranty"
230,"AquaDpure Commercial  Water Purifier Plant Full Stainless Steel With TDS Adjuster 25 L RO Water Purifi...","6,799","24,999",NULL,"Filtration Capacity: 25 L/hr"
231,"KENT Pride Plus (11067) 8 L RO + UV + UF + TDS Water Purifier","16,399","23,000","4.3","Filtration Capacity: 15 L/hr"
232,"Kinsco Black Elagant copper+Alkaline With ORP 7 L RO + UV + UF + Copper Guard + pH enhancer Water Puri...","4,099","20,000","4.2","Filtration Capacity: 15 L/hr"
233,"AQUA Grand RO Alkaline Water Purifier Filter 12 L RO + UV + UF + TDS + Alkaline Water Purifier","3,749","15,999",NULL,"Filtration Capacity: 20 L/hr"
234,"Tata Swach 445666 12 L RO Water Purifier","1,000","1,200",NULL,"1"
235,"Aquatec Plus Epic 15 L RO + UV + UF + TDS Water Purifier","5,699","13,999","4.3","Filtration Capacity: 15 L/hr"
236,"AquaDpure Copper Ro Water Purifier Fully Automatic Function 12 L RO + UV + UF + TDS + Copper Water Pur...","4,999","24,999","3.8","Filtration Capacity: 12 L/hr"
237,"AquaDart Alkaline Black Water Purifier with TDS Controler Fully Automatic 12 L RO + UV + UF + TDS + Al...","4,449","19,999","3.8","Filtration Capacity: 12 L/hr"
238,"proven Fully Automatic For Home and Office (Made In India) 12 L RO + UV + UF + Copper + TDS Control Wa...","4,699","17,990","4.2","Filtration Capacity: 15 L/hr"
239,"Aquaguard SURE CHAMP (2in1 Counter Top Or Wall MOunt Suitable for Water with TDS-2000ppm) 6 L RO + UV ...","8,390","8,999","3.7","1 YEAR MANUFACTURING WARRANTY"
240,"MarQ by Flipkart DIVO 25 L Gravity Based + UF Water Purifier","1,799","2,999","3.9","Warranty of the product is limited to manufacturing defects only."
241,"PureMyst 2 Stage Non Electric Gravity Base UF Filter Kit For Drinking In home 25 L Gravity Based + UF ...","949","2,499","3.5","Filtration Capacity: 25 L/hr"
242,"realme TechLife realpure Water Purifier 10 L RO + UV + UF Water Purifier Suitable for all - Borewell, ...","7,999","15,999","3.1","Filtration Capacity: 15 L/hr"
243,"konvio neer Grasvity 18liter with candel 2 18 L Gravity Based Water Purifier","2,043","3,999","4.3","Filtration Capacity: 1 L/hr"
244,"Aquaultra Reeva 10 L RO + UF + UV + UV_LED + TDS Control Water Purifier","3,999","15,500","3.8","12 Month (Covered On Booster Pump And SMPS Power Supply) Manufacturer Warranty"
245,"Grand plus BLUE SWIFT GP Z1001 10 L RO + UV + UF + Minerals + Copper Water Purifier","3,962","16,500","3.5","Filtration Capacity: 10 L/hr"
246,"E.F.M Aquafresh ro/ cabinet/body 12 litre storage high quality 12 L RO + UV + UF Water Purifier","1,349","2,499","4.1","0"
247,"KENT ?11120 8 L RO + UV + UF + TDS + Mineral Water Purifier","3,515","19,000",NULL,"i year warranty and valid for 1 year from the original date of purchase"
248,"AQUA wavex COPPER MINERAL+ro+uv+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","3,782","15,590","4","Filtration Capacity: 12 L/hr"
249,"Aquaguard Slim Glass UV Storage 2.5 L UV + UF + Copper Water Purifier | Toughened Glass Exterior | Inp...","18,990","26,500","5","1 Year Warranty"
250,"KENT Grand Plus New 9 L RO + UV + UF + TDS Water Purifier","18,940","20,500","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
251,"LG WW174NPB 8 L RO + UV + MB Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","22,990","29,799","4.4","1 Year Warranty on Product and 10 Years Warranty on Tank from Manufacturer"
252,"AquaDpure Aqua Copper + TDS Adjuster/Controller Water Filter for Home 12 L RO + UV + UF + Minerals + C...","4,949","24,999","4.2","Filtration Capacity: 12 L/hr"
253,"AQUA NINE LED Display 12 L RO + UV + UF + TDS Water Purifier","4,899","17,500","4","Filtration Capacity: 12 L/hr"
254,"LG WW120EP 8 L RO Water Purifier With Dual Protection Stainless Steel Tank, Smart Display","24,999",NULL,"4.8","Filtration Capacity: 20 L/Hr"
255,"AQUA Full Megastar Mineral ALKALINE ro+uv+uf+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","3,687","14,500","4.4","Filtration Capacity: 15 L/hr"
256,"MarQ by Flipkart Innopure UV Swift 10 L UV + UF + Copper Water Purifier with BIS Certification","2,799","9,999","3.4","Filtration Capacity: 8 L/hr"
257,"NILE Merlin Automatic Water Purifier with LED Indicator 15 L RO + UV + UF + Copper Water Purifier","13,999","50,000",NULL,"Full Cover"
258,"AQUA Fresh AQUA2090 | NEXT Technology |Multiple Purification System | Smart LED | 10 L RO + UV + UF + ...","6,649","15,500",NULL,"Filtration Capacity: 10 L/hr"
259,"AQUA Grand RO Water Purifier Copper Filter 7 Stages 12 L RO + UV + UF + Minerals + Copper Water Purifi...","3,869","15,999",NULL,"Filtration Capacity: 20 L/hr"
260,"LIVPURE LIV-BOLT+ COPPER(RO+UV+MIN) 7 L RO + UV + Mineraliser Water Purifier","13,200","17,990","4.3","Filtration Capacity: 15 L/hr"
261,"FABER FWP GALAXY PRO 7 L RO + MAT Water Purifier","6,399","14,990","4.3","1 year warranty on product"
262,"Pureit Classic nxt 7 L RO + MF Water Purifier","8,090","10,899","4.3","1 year pureit india warranty"
263,"AQUA SKYLAND Model 18 L ALKALINE INE B12 18 L RO + UV + UF + TDS Water Purifier","3,839","15,999","3.7","Filtration Capacity: 18 L/hr"
264,"Aqua Fresh Omega Epic 12 L RO + UV + UF + TDS Water Purifier","4,208","16,500","4","Filtration Capacity: 10 L/hr"
265,"MarQ by Flipkart AQUA BIZ GREEN 12 L RO + UV + UF + TDS + ALK + Copper Water Purifier with Pre filter ...","4,199","16,500","3.8","Filtration Capacity: 10 L/hr"
266,"Aqua Fresh EPICAQUA+RO+UV+UF+TDS ADJUSTER 12L + 1 YEAR WARRANTY+3 YEAR SERVICE FREE 12 L RO + UV + UF ...","8,099","16,500","4","Filtration Capacity: 12 L/hr"
267,"Faber FWP NEUTRON PLUS 10 L RO + UV + UF Water Purifier","11,999","19,990","4.2","Filtration Capacity: 10 L/hr"
268,"Blue Star Excella 6 L RO + UV + UF Water Purifier Suitable for all - Borewell, Tanker, Municipality Wa...","6,999","13,900","3","Filtration Capacity: 8 L/hr"
269,"Pureit Marvella  G2 4 L UV Water Purifier Suitable only for Municipality Water Supply","8,490","10,490","4.5","Filtration Capacity: 120 L/hr"
270,"KENT 11138 Smart  | 4 Stage Smart Online  Water Purifier | Wall Mountable | High Purification Upto 60 ...","6,250","9,000","3.8","1 year domestic manufacturer warranty"
271,"Aqua Fresh Copper opel 18 ltr +water filter 18 L RO + UV + UF + TDS Water Purifier with Prefilter","3,869","16,500","3.9","Filtration Capacity: 18 L/hr"
272,"JX PERT Aquafresh ro/ cabinet/body 12 litre storage with clamp hand tap and TDS Meter 12 L RO + UV + U...","1,399","2,499","3.9","0"
273,"KENT Prime Plus (11065) 9 L RO + UV + UF + TDS Water Purifier","20,100","20,500","4.4","Filtration Capacity: 20 L/hr"
274,"Pureit Revito Pro DURAViva™ technology with 8 L RO + UV + MF Water Purifier","17,999","28,499","4.4","1 Year Warranty on the Product Provided by the Manufacturer from the Date of Purchase (Consumables and Additional Accessories are not Covered in the Warranty)"
275,"SUPER AQUAFRESH New Grand+RO+UV+UF+TDD+Mineral 9 L RO + UF + UV + UV_LED + TDS Control Water Purifier","4,001","16,500",NULL,"Filtration Capacity: 20 L/hr"
276,"MarQ by Flipkart Black Storm Ciaz 15 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifier...","4,199","16,500","3.9","Filtration Capacity: 12 L/hr"
277,"Aquaguard Eden RO+UV+MTDS+SS (GWPDERUMS00000, Black) 6 L RO + UV + MTDS Water Purifier","21,990","36,000","4.1","12 Month Manufacturing Warranty"
278,"Aquaguard Ritz 5 L RO + UV + MTDS + Alkaline Water Purifier Suitable for all - Borewell, Tanker, Munic...","17,999","23,000","4","1 Year Domestic Warranty"
279,"Remino RO 100 GPD Booster Pump 24v with 2 Pcs Pump Connector for 12 L RO + UV + UF + TDS Water Purifie...","1,044","2,199","4.5","Please Insure Proper Installation For Long Product Life for more information related service kit please contact us 9752883757"
280,"Aqua Active Misty RO+UV+ALK+MI+TDS Controller 10 L RO + UV Water Purifier","8,026","19,999","3.8","Filtration Capacity: 16 L/hr"
281,"Royal Aquafresh Omega RAF Opel Copper 18 L RO + UV + UF + TDS Water Purifier with Prefilter","3,789","16,500","4","Filtration Capacity: 10 L/hr"
282,"AQUA Skyland Model With TDS controller 18 L RO + UV + UF + Minerals Water Purifier","3,898","14,500","3.9","Filtration Capacity: 18 L/hr"
283,"Aqua Fresh Omega Audi+Ro+Uv+Uf+tds 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,899","16,500","4.3","Filtration Capacity: 10 L/hr"
284,"Always Gravity water purifier mineral & dust filter spares 4000 L Gravity Based Water Purifier","449","799","4.2","Manufacturing defect only"
285,"Kinsco Aqua Punch | Needs No service For 2 Years 15 L RO + UV + UF + Minerals + Copper Water Purifier","6,599","20,000","4.2","Filtration Capacity: 15 L/hr"
286,"Grand plus COPPPER AUDI 14 L RO + UV + UF + TDS Water Purifier with Prefilter","3,899","16,500","4","Filtration Capacity: 1 L/hr"
287,"aquahealth care 100 LPH Commercial Water Purifier System Stainless Steel Fully Automatic 100 L RO + UV...","15,500","56,900","4","Filtration Capacity: 100 L/hr"
288,"Home-pro Stainless Steel Non Electric Water Filter with 4 Candle 30 L Gravity Based Water Purifier","1,899","4,704","3.9","Filtration Capacity: 1 L/hr"
289,"LG WW140NP 8 L RO + UV + UF + TDS Water Purifier","17,499","22,900",NULL,"1 year complete and 10 year on tank and other manufacturing defects"
290,"KENT 111149B Maxx Alkaline-B 7 L UV + UF + Alkaline Water Purifier","10,100","11,500","3.7","1 Year Warranty Provided by the Manufacturer from Date of Purchase"
291,"E.F.M Diamond 12 L RO + UV + UF + TDS + Alkaline Water Purifier","4,599","11,500","4.8","Filtration Capacity: 15 L/hr"
292,"Remino 50 LPH Commercial RO Water Purifier Plant/Filter Stainless Steel 50 litre per hour With TDS Adj...","10,751","29,999","4.5","Filtration Capacity: 50 L/hr"
293,"Aqua Fresh MINERAL POT MUNICIPLE WATER gravity based 16 L NON ELECTIC WATER PURIFIER 16 L Gravity Base...","1,001","2,999","3.8","WARRANTY ON MANUFACTURING DEFECT"
294,"AQUA Pearl Copper Alkaline RO + UV + TDS Water Purifier 12 L RO + UF + UV + UV_LED + TDS Control Water...","5,348","12,600","4.1","Filtration Capacity: 20 L/hr"
295,"Aqua Fresh Titanium Series 1 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV ...","5,499","16,500","4.2","Filtration Capacity: 8 L/hr"
296,"AQUA Swift Model 15 L RO + UV + UF + TDS Water Purifier","4,053","14,000","4.1","Filtration Capacity: 15 L/hr"
297,"Aqua Active Misty RO+UV+TDS Controller 10 L RO + UV Water Purifier","7,999","29,999","4.1","Filtration Capacity: 14 L/hr"
298,"Kinsco Aqua Punch | Needs No Service for 2 Years | 15 L RO + UV + UF + Copper + TDS Control Water Puri...","6,299","20,000","4.7","2-year Unconditional Warranty - all filters"
299,"KENT Ace & Vegetable Cleaner 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier Suitable for a...","16,999","26,500","4.3","Filtration Capacity: 20 L/hr"
300,"MarQ by Flipkart Innopure Epic 15 L RO + UV + UF + TDS Water Purifier with Prefilter","4,199","16,500","4","Filtration Capacity: 10 L/hr"
301,"Aquaguard Superio RO+UV+MTDS+SS 5 L RO + UV + MTDS + SS Water Purifier","19,499","26,999",NULL,"Filtration Capacity: 15 (L/hrs"
302,"AO Smith INTELLI-+ 4.5 L UV Water Purifier","11,500","13,100",NULL,"Filtration Capacity: 2 L/hr"
303,"MarQ by Flipkart ESC GOLDEN SMART AUDI 14 L RO + UV + UF + TDS + ALK + Copper Water Purifier with Pref...","4,199","16,500","4.2","Filtration Capacity: 12 L/hr"
304,"R.K. AQUA FRESH INDIA AKM-200 Active Copper filter 12 L RO + UV + UF + Minerals Water Purifier","4,249","15,999","4.1","Filtration Capacity: 10 L/hr"
305,"AquaDpure RO Water Purifier with Bio Alkaline and Aqua Copper Infuser Technology 12 L RO + UV + UF + T...","4,899","24,999",NULL,"Filtration Capacity: 12 L/hr"
306,"V-Guard Rejive 6.5 L RO + UV + MF + Minerals Water Purifier","9,999","18,349","4.3","Filtration Capacity: 15 L/hr"
307,"KENT CRYSTAL ALKALINE 11 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","18,524","23,250","4.2","1 YEAR WARRANTY + 3 YEARS FREE SERVICE"
308,"AQUA Pearl Water Purifier Copper TDS Adjuster 12 L RO + UV + Copper Water Purifier","8,599","18,499",NULL,"Filtration Capacity: 20 L/hr"
309,"Aqua Ace 67758557889 12 L RO + UV + MTDS + SS (AS) Water Purifier","999","1,599",NULL,"1 YEAR"
310,"MarQ by Flipkart Innopure Audi 15 L Needs no service for 3 years Unconditional Warranty 15 L RO + UV +...","9,999","16,500",NULL,"Filtration Capacity: 15 L/hr"
311,"V-Guard Rejive 6.5 L RO + UV + Minerals + Alkaline Water Purifier","11,499","21,499","4.3","Filtration Capacity: 15 L/hr"
312,"Aqua Ace 235 32 L UV Water Purifier","2,001","3,899","4","1 Year Warranty On All Electric Parts I.e Booster Pump & SMPS "
313,"V-Guard Rejive 6.5 L RO + UF + Minerals + Alkaline Water Purifier","9,999","19,149","4.3","Filtration Capacity: 15 L/hr"
314,"MarQ by Flipkart BePure Zinc 25 L Gravity Based + UF Water Purifier","1,799","2,999","3.9","Warranty of the product is limited to manufacturing defects only."
315,"Aqua Active Xtreme 9 L RO + UV + UF + IBT + Alkaline Water Purifier","8,053","24,000","4","Filtration Capacity: 20 L/hr"
316,"Aqua Ace Copper ZINC + Ro + UV + UF + TDS Controller/Adjuster RO Water Purifier-12 Liter 12 L RO + UV ...","4,649","19,999",NULL,"Filtration Capacity: 15 L/hr"
317,"KENT EXCELL+(11003) 7 L RO + UV Water Purifier","19,940","22,500","4.2","Filtration Capacity: 15 L/hr"
318,"KENT GOLD OPTIMA (WATER PURIFIRE) 10 L Gravity Based Water Purifier","1,900",NULL,"3.8","1 YEAR"
319,"nexus pure DRIFT 4 COPPER + ALKALINE 14 L RO + UV + UF + TDS Water Purifier","3,891","17,411","3.9","Filtration Capacity: 20 L/hr"
320,"Blair ALTIS (BLACK) ADVANCE RO+UV+UF+TDS +COPPER+ALKALINE 13 L RO + UV + UF + TDS Control + Alkaline +...","4,712","19,999","4.7","Filtration Capacity: 17 L/hr"
321,"Kinsco Aqua Punch Copper Charge Ro 15 L RO + UV + UF + TDS + Copper Water Purifier with Prefilter and ...","4,499","20,000","4.3","Filtration Capacity: 15 L/hr"
322,"Beyond water Water Purifier 4 Stage NON-Electric with Activated Carbon Gravity Based Water Purifier","1,899","3,999","4","Filtration Capacity: 30 L/hr"
323,"Peore Pro Plus - 80  Water Purifier | Self Service Mode 7.5 L NF + UV Water Purifier","14,499","22,999","4.6","Filtration Capacity: 25 L/hr"
324,"GE FILTRATION Kemflo Purerite filter spun 6000 L Gravity Based + UF Water Purifier","359","1,199","4.3","not required"
325,"COMPTY Vitara 15 L-White 15 L Mineral RO + UV + MF + MP Water Purifier","3,499","12,999",NULL,"Filtration Capacity: 15 L/hr"
326,"E.F.M Dezire Water Purifier Regular Domestic RO System 16 L RO + UV + UF + TDS Water Purifier","4,699","9,500","4.2","Filtration Capacity: 16 L/hr"
327,"Aqua Fresh AURA ALKALINE ro+uv+uf+tds+mineral Electrical ground water purifier 15L 15 L RO + UV + UF +...","4,899","13,999","4","Filtration Capacity: 12 L/hr"
328,"Aqua Fresh MINERAL POT MUNICIPAL WATER NO TASTE CHANGE NON ELECTRIC 16 L Gravity Based Water Purifier","921","2,999","3.3","ONE YEAR OFFSITE WARRANTY"
329,"LIVPURE LIV-PLATINO-PLUS-COPPER2000 8.5 L RO + UV + UF + Minerals + Copper Water Purifier","16,680","23,990","4.5","Filtration Capacity: 15 L/hr"
330,"AQUA LIBRA Water net 7 L RO + UV + MTDS Water Purifier","4,890","14,999","5","Only electric parts"
331,"KENT Pride Plus (11067) 8 L RO + UV + UF + TDS Water Purifier","14,980","19,500","4.3","Filtration Capacity: 15 L/hr"
332,"Pureit CLASSIC + G2 DOUBLE PURITY LOCK UV Water Purifier","7,090","9,250","4.4","service centre"
333,"AquaDpure RO Water Purifier Alkaline with Pre Filter & Aqua Copper 12 L RO + UV + UF + Copper + TDS Co...","4,899","24,747","3.9","Filtration Capacity: 12 L/hr"
334,"Aquaguard ASTOR RO+UV+MTD ALKALINE 7.2 L RO + UV + MTDS + Alkaline Water Purifier","15,900","25,000","4","COMPREHENSIVE"
335,"AQUA GRAND RO UV UF TDS AND MINERAL 12 L RO + UF + UV + UV_LED + TDS Control Water Purifier","3,949","12,999",NULL,"Filtration Capacity: 20 L/hr"
336,"Peore Pro Plus - 60  Water Purifier | Self Service Mode 7.5 L NF + UV Water Purifier","14,499","22,999","4.4","Filtration Capacity: 22 L/hr"
337,"Blue Mount Magna (7 Stage Mineral Gravity Purifier) 18 L Gravity Based + UF Water Purifier","1,471","2,090",NULL,"Filtration Capacity: 15 L/hr"
338,"Rama Superfine Tap for Gravity-Fed Water Filters Tap Mount Water Filter Gravity Based Water Purifier","169",NULL,"4.5","NA"
